"NY.GNS.ICTR.ZS","Gross savings (% of GDP)"
"SH.XPD.PCAP","Health expenditure per capita (current US$)"
"SH.XPD.PUBL","Health expenditure, public (% of total health expenditure)"
"SH.XPD.TOTL.ZS","Health expenditure, total (% of GDP)"
"TX.VAL.TECH.MF.ZS","High-technology exports (% of manufactured exports)"
"TX.VAL.TECH.CD","High-technology exports (current US$)"
"DT.DOD.MWBG.CD","IBRD loans and IDA credits (DOD, current US$)"
"TX.VAL.ICTG.ZS.UN","ICT goods exports (% of total goods exports)"
"TM.VAL.ICTG.ZS.UN","ICT goods imports (% total goods imports)"
"BX.GSR.CCIS.ZS","ICT service exports (% of service exports, BoP)"
"IQ.CPA.IRAI.XQ","IDA resource allocation index (1=low to 6=high)"
"SH.IMM.IDPT","Immunization, DPT (% of children ages 12-23 months)"
"SH.IMM.MEAS","Immunization, measles (% of children ages 12-23 months)"
"TM.VAL.MRCH.XD.WD","Import value index (2000 = 100)"
"TM.QTY.MRCH.XD.WD","Import volume index (2000 = 100)"
"NE.IMP.GNFS.ZS","Imports of goods and services (% of GDP)"
"SH.STA.ACSN","Improved sanitation facilities (% of population with access)"
"SH.STA.ACSN.UR","Improved sanitation facilities, urban (% of urban population with access)"
"SH.H2O.SAFE.RU.ZS","Improved water source, rural (% of rural population with access)"
"SH.H2O.SAFE.UR.ZS","Improved water source, urban (% of urban population with access)"
"SH.TBS.INCD","Incidence of tuberculosis (per 100,000 people)"
"SI.DST.04TH.20","Income share held by fourth 20%"
"SI.DST.10TH.10","Income share held by highest 10%"
"SI.DST.05TH.20","Income share held by highest 20%"
"SI.DST.FRST.10","Income share held by lowest 10%"
"SI.DST.FRST.20","Income share held by lowest 20%"
"SI.DST.02ND.20","Income share held by second 20%"
"SI.DST.03RD.20","Income share held by third 20%"
"NV.IND.TOTL.ZS","Industry, value added (% of GDP)"
"NY.GDP.DEFL.KD.ZG","Inflation, GDP deflator (annual %)"
"FP.CPI.TOTL.ZG","Inflation, consumer prices (annual %)"
"IC.FRM.CORR.ZS","Informal payments to public officials (% of firms)"
"FR.INR.LNDP","Interest rate spread (lending rate minus deposit rate, %)"
"SM.POP.TOTL","International migrant stock, total"
"IC.FRM.ISOC.ZS","Internationally-recognized quality certification (% of firms)"
"IT.NET.USER.P2","Internet users (per 100 people)"
"IE.PPI.ENGY.CD","Investment in energy with private participation (current US$)"
"IE.PPI.TELE.CD","Investment in telecoms with private participation (current US$)"
"IE.PPI.TRAN.CD","Investment in transport with private participation (current US$)"
"IE.PPI.WATR.CD","Investment in water and sanitation with private participation (current US$)"
"SL.TLF.ACTI.1524.FE.ZS","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"
"SL.TLF.ACTI.1524.MA.ZS","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"
"SL.TLF.ACTI.1524.ZS","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)"
"SL.TLF.CACT.FE.ZS","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"
"SL.TLF.ACTI.FE.ZS","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"
"SL.TLF.CACT.MA.ZS","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"
"SL.TLF.ACTI.MA.ZS","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"
"SL.TLF.CACT.ZS","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)"
"SL.TLF.ACTI.ZS","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
"SL.TLF.TOTL.IN","Labor force, total"
"AG.LND.TOTL.K2","Land area (sq. km)"
"AG.LND.EL5M.ZS","Land area where elevation is below 5 meters (% of total land area)"
"AG.LND.CREL.HA","Land under cereal production (hectares)"
"LP.EXP.DURS.MD","Lead time to export, median case (days)"
"LP.IMP.DURS.MD","Lead time to import, median case (days)"
"FR.INR.LEND","Lending interest rate (%)"
"SP.DYN.LE00.FE.IN","Life expectancy at birth, female (years)"
"SP.DYN.LE00.MA.IN","Life expectancy at birth, male (years)"
"SP.DYN.LE00.IN","Life expectancy at birth, total (years)"
"CM.MKT.LDOM.NO","Listed domestic companies, total"
"AG.PRD.LVSK.XD","Livestock production index (2004-2006 = 100)"
"LP.LPI.OVRL.XQ","Logistics performance index: Overall (1=low to 5=high)"
"SL.UEM.LTRM.ZS","Long-term unemployment (% of total unemployment)"
"SL.UEM.LTRM.FE.ZS","Long-term unemployment, female (% of female unemployment)"
"SL.UEM.LTRM.MA.ZS","Long-term unemployment, male (% of male unemployment)"
"EN.MAM.THRD.NO","Mammal species, threatened"
"ER.MRN.PTMR.ZS","Marine protected areas (% of territorial waters)"
"CM.MKT.LCAP.GD.ZS","Market capitalization of listed domestic companies (% of GDP)"
"CM.MKT.LCAP.CD","Market capitalization of listed domestic companies (current US$)"
"SH.STA.MMRT","Maternal mortality ratio (modeled estimate, per 100,000 live births)"
"TG.VAL.TOTL.GD.ZS","Merchandise trade (% of GDP)"
"EN.ATM.METH.KT.CE","Methane emissions (kt of CO2 equivalent)"
"MS.MIL.XPND.GD.ZS","Military expenditure (% of GDP)"
"MS.MIL.XPND.ZS","Military expenditure (% of central government expenditure)"
"IT.CEL.SETS.P2","Mobile cellular subscriptions (per 100 people)"
"FM.LBL.MQMY.ZG","Money and quasi money growth (annual %)"
"SP.DYN.IMRT.IN","Mortality rate, infant (per 1,000 live births)"
"SH.DYN.MORT","Mortality rate, under-5 (per 1,000)"
"DT.ODA.ODAT.GN.ZS","Net ODA received (% of GNI)"
"DT.ODA.ODAT.PC.ZS","Net ODA received per capita (current US$)"
"TT.PRI.MRCH.XD.WD","Net barter terms of trade index (2000 = 100)"
"DC.DAC.KORL.CD","Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)"
"SE.PRM.NENR","Net enrolment rate, primary, both sexes (%)"
"SE.SEC.NENR","Net enrolment rate, secondary, both sexes (%)"
"DT.NFL.DLXF.CD","Net flows on external debt, long-term (NFL, current US$)"
"DT.NFL.DECT.CD","Net flows on external debt, total (NFL, current US$)"
"SM.POP.NETM","Net migration"
"DT.ODA.ALLD.CD","Net official development assistance and official aid received (current US$)"
"DT.ODA.ODAT.CD","Net official development assistance received (current US$)"
"IC.BUS.NREG","New businesses registered (number)"
"EN.ATM.NOXE.KT.CE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)"
"SH.SGR.PROC.P5","Number of surgical procedures (per 100,000 population)"
"IC.TAX.METG","Number of visits or required meetings with tax officials"
"EN.ATM.GHGO.KT.CE","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)"
"SH.XPD.OOPC.ZS","Out-of-pocket health expenditure (% of private expenditure on health)"
"SE.PRM.UNER.FE","Out-of-school children of primary school age, female (number)"
"SE.PRM.UNER.MA","Out-of-school children of primary school age, male (number)"
"EN.ATM.PM25.MC.M3","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
"EN.ATM.PM25.MC.ZS","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
"IP.PAT.NRES","Patent applications, nonresidents"
"IP.PAT.RESD","Patent applications, residents"
"SE.PRM.REPT.FE.ZS","Percentage of repeaters in primary education, all grades, female (%)"
"SE.PRM.REPT.MA.ZS","Percentage of repeaters in primary education, all grades, male (%)"
"SE.PRM.TCAQ.ZS","Percentage of teachers in primary education who are trained, both sexes (%)"
"AG.LND.CROP.ZS","Permanent cropland (% of land area)"
"BX.TRF.PWKR.CD.DT","Personal remittances, received (current US$)"
"EN.HPT.THRD.NO","Plant species (higher), threatened"
"SP.POP.65UP.TO.ZS","Population ages 65 and above (% of total)"
"SP.POP.GROW","Population growth (annual %)"
"EN.URB.LCTY.UR.ZS","Population in the largest city (% of urban population)"
"EN.URB.MCTY.TL.ZS","Population in urban agglomerations of more than 1 million (% of total population)"
"EN.POP.EL5M.ZS","Population living in areas where elevation is below 5 meters (% of total population)"
"SP.POP.0014.TO.ZS","Population, ages 0-14 (% of total)"
"SP.POP.1564.TO.ZS","Population, ages 15-64 (% of total)"
"SP.POP.TOTL.FE.ZS","Population, female (% of total)"
"SP.POP.TOTL","Population, total"
"BX.PEF.TOTL.CD.WD","Portfolio equity, net inflows (BoP, current US$)"
"SI.POV.GAPS","Poverty gap at $1.90 a day (2011 PPP) (%)"
"SI.POV.GAP2","Poverty gap at $3.10 a day (2011 PPP) (%)"
"SI.POV.NAGP","Poverty gap at national poverty lines (%)"
"SI.POV.DDAY","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)"
"SI.POV.2DAY","Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population)"
"SI.POV.NAHC","Poverty headcount ratio at national poverty lines (% of population)"
"SH.STA.ANVC.ZS","Pregnant women receiving prenatal care (%)"
"SH.HIV.1524.FE.ZS","Prevalence of HIV, female (% ages 15-24)"
"SH.HIV.1524.MA.ZS","Prevalence of HIV, male (% ages 15-24)"
"SH.DYN.AIDS.ZS","Prevalence of HIV, total (% of population ages 15-49)"
"SH.ANM.CHLD.ZS","Prevalence of anemia among children (% of children under 5)"
"SH.STA.STNT.ZS","Prevalence of stunting, height for age (% of children under 5)"
"SH.STA.MALN.ZS","Prevalence of underweight, weight for age (% of children under 5)"
"SE.PRM.CMPT.ZS","Primary completion rate, both sexes (%)"
"SE.PRM.CMPT.FE.ZS","Primary completion rate, female (%)"
"SE.PRM.CMPT.MA.ZS","Primary completion rate, male (%)"
"IC.CRD.PRVT.ZS","Private credit bureau coverage (% of adults)"
"SG.GEN.PARL.ZS","Proportion of seats held by women in national parliaments (%)"
"IC.CRD.PUBL.ZS","Public credit registry coverage (% of adults)"
"EP.PMP.DESL.CD","Pump price for diesel fuel (US$ per liter)"
"EP.PMP.SGAS.CD","Pump price for gasoline (US$ per liter)"
"SE.PRM.ENRL.TC.ZS","Pupil-teacher ratio in primary education (headcount basis)"
"IS.RRS.TOTL.KM","Rail lines (total route-km)"
"FR.INR.RINR","Real interest rate (%)"
"SM.POP.REFG","Refugee population by country or territory of asylum"
"SM.POP.REFG.OR","Refugee population by country or territory of origin"
"EG.ELC.RNEW.ZS","Renewable electricity output (% of total electricity output)"
"EG.FEC.RNEW.ZS","Renewable energy consumption (% of total final energy consumption)"
"ER.H2O.INTR.PC","Renewable internal freshwater resources per capita (cubic meters)"
"ER.H2O.INTR.K3","Renewable internal freshwater resources, total (billion cubic meters)"
"GB.XPD.RSDV.GD.ZS","Research and development expenditure (% of GDP)"
"SP.POP.SCIE.RD.P6","Researchers in R&amp;D (per million people)"
"GC.REV.XGRT.GD.ZS","Revenue, excluding grants (% of GDP)"
"SH.SGR.CRSK.ZS","Risk of catastrophic expenditure for surgical care (% of people at risk)"
"SH.SGR.IRSK.ZS","Risk of impoverishing expenditure for surgical care (% of people at risk)"
"FR.INR.RISK","Risk premium on lending (lending rate minus treasury bill rate, %)"
"SP.RUR.TOTL","Rural population"
"SP.RUR.TOTL.ZS","Rural population (% of total population)"
"SI.POV.RUGP","Rural poverty gap at national poverty lines (%)"
"SI.POV.RUHC","Rural poverty headcount ratio at national poverty lines (% of rural population)"
"CM.MKT.INDX.ZG","S&amp;P Global Equity Indices (annual % change)"
"IP.JRN.ARTC.SC","Scientific and technical journal articles"
"BM.TRF.PRVT.CD","Secondary income, other sectors, payments (BoP, current US$)"
"IT.NET.SECR.P6","Secure Internet servers (per 1 million people)"
"NV.SRV.TETC.ZS","Services, etc., value added (% of GDP)"
"SL.EMP.INSV.FE.ZS","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)"
"SH.MED.SAOP.P5","Specialist surgical workforce (per 100,000 population)"
"IC.REG.PROC","Start-up procedures to register a business (number)"
"CM.MKT.TRAD.GD.ZS","Stocks traded, total value (% of GDP)"
"CM.MKT.TRNR","Stocks traded, turnover ratio of domestic shares (%)"
"IC.LGL.CRED.XQ","Strength of legal rights index (0=weak to 12=strong)"
"SI.SPR.PC40","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)"
"SI.SPR.PCAP","Survey mean consumption or income per capita, total population (2011 PPP $ per day)"
"SE.PRM.PRSL.FE.ZS","Survival rate to the last grade of primary education, female (%)"
"SE.PRM.PRSL.MA.ZS","Survival rate to the last grade of primary education, male (%)"
"IC.TAX.PAYM","Tax payments (number)"
"GC.TAX.TOTL.GD.ZS","Tax revenue (% of GDP)"
"SP.POP.TECH.RD.P6","Technicians in R&amp;D (per million people)"
"SP.MTR.1519.ZS","Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)"
"IC.REG.DURS","Time required to start a business (days)"
"IC.TAX.DURS","Time to prepare and pay taxes (hours)"
"IC.ISV.DURS","Time to resolve insolvency (years)"
"DT.TDS.DECT.EX.ZS","Total debt service (% of exports of goods, services and primary income)"
"FI.RES.TOTL.CD","Total reserves (includes gold, current US$)"
"IC.TAX.TOTL.CP.ZS","Total tax rate (% of commercial profits)"
"BG.GSR.NFSV.GD.ZS","Trade in services (% of GDP)"
"IP.TMK.NRES","Trademark applications, direct nonresident"
"IP.TMK.RESD","Trademark applications, direct resident"
"SL.UEM.TOTL.FE.ZS","Unemployment, female (% of female labor force)"
"SL.UEM.TOTL.MA.ZS","Unemployment, male (% of male labor force)"
"SL.UEM.TOTL.ZS","Unemployment, total (% of total labor force)"
"SL.UEM.1524.FE.ZS","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"
"SL.UEM.1524.MA.ZS","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"
"SP.UWT.TFRT","Unmet need for contraception (% of married women ages 15-49)"
"SP.URB.TOTL","Urban population"
"SP.URB.TOTL.IN.ZS","Urban population (% of total)"
"SI.POV.URGP","Urban poverty gap at national poverty lines (%)"
"SI.POV.URHC","Urban poverty headcount ratio at national poverty lines (% of urban population)"
"DT.DOD.DIMF.CD","Use of IMF credit (DOD, current US$)"
"IC.FRM.OUTG.ZS","Value lost due to electrical outages (% of sales)"
"SL.EMP.VULN.FE.ZS","Vulnerable employment, female (% of female employment)"
"SL.EMP.VULN.MA.ZS","Vulnerable employment, male (% of male employment)"
"SL.EMP.VULN.ZS","Vulnerable employment, total (% of total employment)"
"SE.ADT.1524.LT.ZS","Youth literacy rate, population 15-24 years, both sexes (%)"
"SE.ADT.1524.LT.FE.ZS","Youth literacy rate, population 15-24 years, female (%)"
"SE.ADT.1524.LT.MA.ZS","Youth literacy rate, population 15-24 years, male (%)"
